,geo_value,time_value,cases,deaths,doctor_visits,wili,wcli,doctor_visits_quantized,doctor_visits_randomized,doctor_visits_prior
0,25001,2/1/20,,,0.255698,,,6.0871614,60.871614,54.7844526
1,25001,2/2/20,,,0.17336,,,6.0871614,12.1743228,6.0871614
2,25001,2/3/20,,,0.11833,,,6.0871614,6.0871614,6.0871614
3,25001,2/4/20,,,0.026976,,,6.0871614,30.435807,18.2614842
4,25001,2/5/20,,,0,,,6.0871614,54.7844526,54.7844526
5,25001,2/6/20,,,0,,,6.0871614,24.3486456,54.7844526
6,25001,2/7/20,,,0,,,6.0871614,6.0871614,48.6972912
7,25001,2/8/20,,,0,,,6.0871614,6.0871614,6.0871614
8,25001,2/9/20,,,0.014419,,,6.0871614,18.2614842,6.0871614
9,25001,2/10/20,,,0.076253,,,6.0871614,6.0871614,54.7844526
10,25001,2/11/20,,,0.159651,,,6.0871614,30.435807,18.2614842
11,25001,2/12/20,,,0.171701,,,6.0871614,18.2614842,54.7844526
12,25001,2/13/20,,,0.196485,,,6.0871614,24.3486456,12.1743228
13,25001,2/14/20,,,0.221399,,,6.0871614,18.2614842,48.6972912
14,25001,2/15/20,,,0.2772,,,6.0871614,54.7844526,12.1743228
15,25001,2/16/20,,,0.334103,,,6.0871614,36.5229684,6.0871614
16,25001,2/17/20,,,0.352982,,,6.0871614,6.0871614,6.0871614
17,25001,2/18/20,,,0.351605,,,6.0871614,48.6972912,54.7844526
18,25001,2/19/20,,,0.354973,,,6.0871614,24.3486456,12.1743228
19,25001,2/20/20,0,0,0.186852,,,6.0871614,12.1743228,6.0871614
20,25001,2/21/20,0,0,0.071016,,,6.0871614,48.6972912,6.0871614
21,25001,2/22/20,0,0,0,,,6.0871614,6.0871614,48.6972912
22,25001,2/23/20,0,0,0,,,6.0871614,12.1743228,6.0871614
23,25001,2/24/20,0,0,0,,,6.0871614,30.435807,6.0871614
24,25001,2/25/20,0,0,0,,,6.0871614,24.3486456,54.7844526
25,25001,2/26/20,0,0,0,,,6.0871614,48.6972912,54.7844526
26,25001,2/27/20,0,0,0,,,6.0871614,6.0871614,48.6972912
27,25001,2/28/20,0,0,0,,,6.0871614,30.435807,6.0871614
28,25001,2/29/20,0,0,0.10444,,,6.0871614,6.0871614,18.2614842
29,25001,3/1/20,0,0,0.219717,,,6.0871614,6.0871614,6.0871614
30,25001,3/2/20,0,0,0.219009,,,6.0871614,30.435807,6.0871614
31,25001,3/3/20,0,0,0.265807,,,6.0871614,12.1743228,48.6972912
32,25001,3/4/20,0,0,0.304355,,,6.0871614,42.6101298,6.0871614
33,25001,3/5/20,0,0,0.354337,,,6.0871614,48.6972912,12.1743228
34,25001,3/6/20,0,0,0.353922,,,6.0871614,12.1743228,18.2614842
35,25001,3/7/20,0,0,0.403663,,,6.0871614,12.1743228,54.7844526
36,25001,3/8/20,0,0,0.42308,,,6.0871614,36.5229684,6.0871614
37,25001,3/9/20,0,0,0.414196,,,6.0871614,36.5229684,6.0871614
38,25001,3/10/20,0,0,0.351322,,,6.0871614,48.6972912,6.0871614
39,25001,3/11/20,0,0,0.171581,,,6.0871614,18.2614842,12.1743228
40,25001,3/12/20,0,0,0.118045,,,6.0871614,12.1743228,6.0871614
41,25001,3/13/20,0,0,0.035815,,,6.0871614,36.5229684,48.6972912
42,25001,3/14/20,1,0,0,,,6.0871614,30.435807,54.7844526
43,25001,3/15/20,0,0,0,,,6.0871614,54.7844526,12.1743228
44,25001,3/16/20,0,0,0,,,6.0871614,24.3486456,12.1743228
45,25001,3/17/20,1,0,0.059743,,,6.0871614,30.435807,6.0871614
46,25001,3/18/20,0,0,0.103407,,,6.0871614,30.435807,6.0871614
47,25001,3/19/20,3,0,0.325202,,,6.0871614,24.3486456,6.0871614
48,25001,3/20/20,4,0,0.565127,,,6.0871614,6.0871614,6.0871614
49,25001,3/21/20,2,0,0.868055,,,6.0871614,6.0871614,12.1743228
50,25001,3/22/20,13,0,1.027653,,,6.0871614,30.435807,18.2614842
51,25001,3/23/20,6,0,1.136545,,,6.0871614,36.5229684,6.0871614
52,25001,3/24/20,10,0,1.450461,,,6.0871614,30.435807,12.1743228
53,25001,3/25/20,11,1,1.771106,,,6.0871614,12.1743228,12.1743228
54,25001,3/26/20,16,0,2.188371,,,6.0871614,12.1743228,54.7844526
55,25001,3/27/20,33,1,2.475334,,,6.0871614,18.2614842,6.0871614
56,25001,3/28/20,33,0,2.858129,,,6.0871614,36.5229684,6.0871614
57,25001,3/29/20,15,0,3.333708,,,6.0871614,6.0871614,54.7844526
58,25001,3/30/20,25,0,3.707846,,,6.0871614,36.5229684,18.2614842
59,25001,3/31/20,18,0,3.902966,,,6.0871614,6.0871614,12.1743228
60,25001,4/1/20,64,1,3.832481,,,6.0871614,6.0871614,6.0871614
61,25001,4/2/20,28,0,4.180156,,,6.0871614,6.0871614,48.6972912
62,25001,4/3/20,31,3,4.270785,,,6.0871614,36.5229684,12.1743228
63,25001,4/4/20,16,0,4.538388,,,6.0871614,24.3486456,6.0871614
64,25001,4/5/20,17,0,4.705288,,,6.0871614,24.3486456,12.1743228
65,25001,4/6/20,36,1,4.860971,1.081043,0.2122029,6.0871614,30.435807,54.7844526
66,25001,4/7/20,22,3,4.952778,0.7200033,0.3203007,6.0871614,6.0871614,6.0871614
67,25001,4/8/20,18,1,5.157929,0.4874422,0.1829182,6.0871614,6.0871614,54.7844526
68,25001,4/9/20,21,1,5.299333,0.431729,0.2100348,6.0871614,24.3486456,48.6972912
69,25001,4/10/20,20,1,5.126278,0.5562406,0.3709234,6.0871614,6.0871614,6.0871614
70,25001,4/11/20,16,2,4.935397,0.6209572,0.5066956,6.0871614,54.7844526,18.2614842
71,25001,4/12/20,21,1,4.756696,0.5694263,0.4695858,6.0871614,12.1743228,6.0871614
72,25001,4/13/20,1,1,4.572581,0.4626278,0.4626278,6.0871614,6.0871614,18.2614842
73,25001,4/14/20,12,0,4.245249,0.4417173,0.4417173,6.0871614,6.0871614,6.0871614
74,25001,4/15/20,16,1,3.867359,0.5498989,0.5498989,6.0871614,24.3486456,6.0871614
75,25001,4/16/20,20,0,3.379761,0.6197068,0.6197068,6.0871614,6.0871614,18.2614842
76,25001,4/17/20,23,2,2.867225,0.4337003,0.4337003,6.0871614,48.6972912,54.7844526
77,25001,4/18/20,17,0,2.475135,0.0725497,0.0725497,6.0871614,42.6101298,54.7844526
78,25001,4/19/20,42,1,2.187896,0.0654996,0.0654996,6.0871614,30.435807,48.6972912
79,25001,4/20/20,32,0,1.899326,0.0820908,0.0820908,6.0871614,48.6972912,6.0871614
80,25001,4/21/20,8,1,1.628456,0,0,6.0871614,24.3486456,6.0871614
81,25001,4/22/20,6,5,1.576694,0,0,6.0871614,24.3486456,18.2614842
82,25001,4/23/20,30,1,1.948172,0.9828448,0.9828448,6.0871614,24.3486456,6.0871614
83,25001,4/24/20,39,4,2.472013,1.1630086,1.1809228,6.0871614,54.7844526,6.0871614
84,25001,4/25/20,9,5,3.238675,1.515634,1.5234628,6.0871614,24.3486456,6.0871614
85,25001,4/26/20,16,0,3.938813,1.6383506,1.6413884,6.0871614,60.871614,6.0871614
