geo_value,time_value,cases,deaths,wili,wcli,doctor_visits_prior
25001,2020-02-01,,,,,54.7844526
25001,2020-02-02,,,,,6.0871614
25001,2020-02-03,,,,,6.0871614
25001,2020-02-04,,,,,18.2614842
25001,2020-02-05,,,,,54.7844526
25001,2020-02-06,,,,,54.7844526
25001,2020-02-07,,,,,48.6972912
25001,2020-02-08,,,,,6.0871614
25001,2020-02-09,,,,,6.0871614
25001,2020-02-10,,,,,54.7844526
25001,2020-02-11,,,,,18.2614842
25001,2020-02-12,,,,,54.7844526
25001,2020-02-13,,,,,12.1743228
25001,2020-02-14,,,,,48.6972912
25001,2020-02-15,,,,,12.1743228
25001,2020-02-16,,,,,6.0871614
25001,2020-02-17,,,,,6.0871614
25001,2020-02-18,,,,,54.7844526
25001,2020-02-19,,,,,12.1743228
25001,2020-02-20,0,0,,,6.0871614
25001,2020-02-21,0,0,,,6.0871614
25001,2020-02-22,0,0,,,48.6972912
25001,2020-02-23,0,0,,,6.0871614
25001,2020-02-24,0,0,,,6.0871614
25001,2020-02-25,0,0,,,54.7844526
25001,2020-02-26,0,0,,,54.7844526
25001,2020-02-27,0,0,,,48.6972912
25001,2020-02-28,0,0,,,6.0871614
25001,2020-02-29,0,0,,,18.2614842
25001,2020-03-01,0,0,,,6.0871614
25001,2020-03-02,0,0,,,6.0871614
25001,2020-03-03,0,0,,,48.6972912
25001,2020-03-04,0,0,,,6.0871614
25001,2020-03-05,0,0,,,12.1743228
25001,2020-03-06,0,0,,,18.2614842
25001,2020-03-07,0,0,,,54.7844526
25001,2020-03-08,0,0,,,6.0871614
25001,2020-03-09,0,0,,,6.0871614
25001,2020-03-10,0,0,,,6.0871614
25001,2020-03-11,0,0,,,12.1743228
25001,2020-03-12,0,0,,,6.0871614
25001,2020-03-13,0,0,,,48.6972912
25001,2020-03-14,1,0,,,54.7844526
25001,2020-03-15,0,0,,,12.1743228
25001,2020-03-16,0,0,,,12.1743228
25001,2020-03-17,1,0,,,6.0871614
25001,2020-03-18,0,0,,,6.0871614
25001,2020-03-19,3,0,,,6.0871614
25001,2020-03-20,4,0,,,6.0871614
25001,2020-03-21,2,0,,,12.1743228
25001,2020-03-22,13,0,,,18.2614842
25001,2020-03-23,6,0,,,6.0871614
25001,2020-03-24,10,0,,,12.1743228
25001,2020-03-25,11,1,,,12.1743228
25001,2020-03-26,16,0,,,54.7844526
25001,2020-03-27,33,1,,,6.0871614
25001,2020-03-28,33,0,,,6.0871614
25001,2020-03-29,15,0,,,54.7844526
25001,2020-03-30,25,0,,,18.2614842
25001,2020-03-31,18,0,,,12.1743228
25001,2020-04-01,64,1,,,6.0871614
25001,2020-04-02,28,0,,,48.6972912
25001,2020-04-03,31,3,,,12.1743228
25001,2020-04-04,16,0,,,6.0871614
25001,2020-04-05,17,0,,,12.1743228
25001,2020-04-06,36,1,1.081043,0.2122029,54.7844526
25001,2020-04-07,22,3,0.7200033,0.3203007,6.0871614
25001,2020-04-08,18,1,0.4874422,0.1829182,54.7844526
25001,2020-04-09,21,1,0.431729,0.2100348,48.6972912
25001,2020-04-10,20,1,0.5562406,0.3709234,6.0871614
25001,2020-04-11,16,2,0.6209572,0.5066956,18.2614842
25001,2020-04-12,21,1,0.5694263,0.4695858,6.0871614
25001,2020-04-13,1,1,0.4626278,0.4626278,18.2614842
25001,2020-04-14,12,0,0.4417173,0.4417173,6.0871614
25001,2020-04-15,16,1,0.5498989,0.5498989,6.0871614
25001,2020-04-16,20,0,0.6197068,0.6197068,18.2614842
25001,2020-04-17,23,2,0.4337003,0.4337003,54.7844526
25001,2020-04-18,17,0,0.0725497,0.0725497,54.7844526
25001,2020-04-19,42,1,0.0654996,0.0654996,48.6972912
